index,topics
0,"부동산, 투자, 투기, 세금, 재테크, 목적, 교회"
1,"노조, 주총, 정부, 법인분할, 경쟁력, 위, 노총, 노조원, 불법행위, 조선업"
2,"장관, 생존자, 유람선, 사고, 당시, 가족, 그, 노력, 구명조끼, 르"
3,"여성, 남성, 혐의, 침입, 강간미수, 경찰, 주거, 구속, 영상, 영장"
4,"회동, 미, 북, 대표, 협상, 수석, 이날, 본부장, 이야기, 이후"
5,"발언, 의장, 김정은, 대통령, 왜곡, 보도, 대표, 기자, 부분"
6,"라피, 교장, 학교, 옥상, 경찰, 방글라데시, 성, 추행, 가해자"
7,"지원, 시장, 만, 북한, 서울, 식량, 억, 박, 인도, 서울시"
8,"조, 침입, 여성, 주거, 구속, 강간, 시도, 신림동, 영상, 경찰"
9,"현지, 장관, 시, 분, 선장, 헝가리, 사건, 확보, 강, 오후"
10,"증거, 검찰, 변호인, 내용, 설명, 재판부, 입증, 주장, 재판, 양"
11,"선장, 헝가리, 정부, 장관, 부다페스트, 유람선, 크루즈, 사고, 시기, 호"
12,"강원랜드, 채용, 뇌물, 카지노, 직권남용, 청탁, 혐의, 김, 피고인, 권한"
13,"일본, 독일, 위기, 국가, 역사, 경험, 제약, 전쟁, 지정학, 그"
14,"보도, 김혁, 철, 북한, 대미, 협상, 언론, 처형, 하노이, 특별대표"
15,"헝가리, 장관, 수색, 사고, 정부, 강, 측, 다뉴브강, 실종자, 인양"
16,"멕시코, 관세, 미국, 해결, 불법, 이민자, 트럼프, 대통령, 민주당"
17,"장관, 강, 헝가리, 유람선, 침몰, 인양, 잠수, 측, 브, 밑"
18,"청렴, 농협, 임직원, 실천, 윤리, 경영, 농협중앙회, 캠페인"
19,"멧돼지, 포획, 서울, 마리, 작업, 협회, 엽사, 야생, 신고, 수도권"
20,"관리, 유해, 지정, 생물, 동물, 피해, 야생, 종, 생태, 교란"
21,"류현진, 광고, 모델, 혐의"
22,"북한, 중국, 멧돼지, 돼지, 바이러스, 감염, 확산, 방역, 발병, 세계"
23,"경제, 적자, 수출, 4월, 경상수지, 상황"
24,"노조, 합병, 분할, 세계, 법인, 우려, 조선업, 중국, 경쟁국, 정부"
25,"경상수지, 수출, 적자, 가능성, 정부, 감소세, 하락, 4월, 외국인"
26,"헝가리, 다뉴브강, 선체, 외교부, 기자, 하류, 수색, 경찰, 장관, 강"
27,"북한, 방역, 마리"
28,"현대중공업, 주주, 주주총회, 변경, 금속, 노조"
29,"경찰, 사고, 다뉴브강, 헝가리, 부다페스트, 수색, 배, 구조, 현지, 간"
30,"배, 바이킹, 시기, 탑승객, 사고, 선박, 허블레아니"
31,"시, 오전, 체육관, 회사, 측, 주총, 노조원, 분, 울산대, 경찰"
32,"멕시코, 관세, 미국, 기업, 대통령, 현지, 생산"
33,"민, 노총, 정부, 행위, 간부, 구속, 불법, 조치"
34,"지원, 식량, 정부, 만, 북한, 최고위원, 국제기구"
35,"당, 정책위의장, 북한, 의원, 대표"
36,"수지, 시장, 경상, 적자, 가능성, 기준금리, 물, 수출, 정부, 상황"
37,"면세점, 한도, 장, 출국, 검토, 3000달러, 홍, 상향, 조정, 600달러"
38,"일본, 삼성, 삼성전자, 부회장, 시장, 최근, 스마트폰, 갤럭시, 경계, 협력"
39,"정부, 북한, 돼지, 멧돼지, 감염, 한국, 예방, 전파, 백신, 방역"
40,"만, 조, 그룹"
41,"감염, 바이러스, 돼지, 지역"
42,"검찰, 용산, 당시, 경찰, 진압, 수사, 조사, 과거사위, 철거민"
43,"회식, 군, 사령관, 자리, 행사"
44,"독립, 만세, 안동, 시위, 일제, 임청, 석주, 경북, 독립운동, 시위대"
45,"대통령, 트윗, 그, 트럼프, 건, 미, 국장, 대선, 백악관, 노"
46,"뉴욕, 택시, 대출, 택시기사, 택시업계, 언, 만, 달러, 머댈리, 시"
47,"정부, 일본, 암행어사, 룰, 심판, 권위, 기업, 민초, 힘, 해결"
48,"폭염, 더위, 도, 발생, 지난해, 수은주, 열사, 병, 목숨, 위협"
49,"회장, 최, 임직원, SK텔레콤, 시대, 성공, 고객"
50,"보이스피싱, 전화, 금융, 피해, 확인, 돈, 대출, 의심, 번호, 설치"
51,"요금, SK텔레콤, 개월, 병사, 플랜, 이용, 전용, 제공, 슈퍼히어로, 데이터"
52,"회장, SK텔레콤, 최"
53,"해외, 취업, 기업, 교수, 일본, 글로벌, 대학, 교육, 재학, 교류"
54,금연
55,"평등, 저자"
56,"서비스, 렉서스, 센터, 전시장, 고객, 포항"
57,"면세점, 입국, 장, 국민, 달러, 구매, 한도, 600달러, 국내, 인천국제공항"
58,"공항, 장비, 사업, 항행, 안전, 시설, 시장, 공사, 우즈베키스탄, 개발"
59,"한국, 암웨이, 제품, 브랜드, 뉴트리라이트, 영양소, 식물, 캠페인"
60,"미니, 주년, 디자인, 레이싱, 출시, 적용, 영국, 정체성, 기념, 링"
61,"연금, 손, 손님, 자산관리, 은행, 투자, 자산, 관리, 상품, 제공"
62,"세빛섬, 축구, 행사, 다양, 카페"
63,"렉스, 호주, 터, 스포츠, 현지, 칸, 출시, 쌍용, 차, 시장"
64,"센터, 온라인, 롯데슈퍼, 배송, 남양주, 남양주시, 전용, 프레시, 주문"
65,"운전자, S-OIL, 화물차, 자녀, 사고, 어려움"
66,"타이어, 서비스, 센터, 썸, 프로모션, 이번, 고객, 교체"
67,"제공, 플랫폼, 롯데면세점, 위챗, 서비스, 중국, 고객, 여행객, 대상, 혜택"
68,"바이오, 기업, 산업, 인천, 송도, 헬스, 생태계, 셀트리온, 전략, 생산"
69,"총장, 교수, 행정학, 공주"
70,"조합, 장판, 가정, 희망, 활동, 도배, 환경, 개선"
71,
72,"대통령, 사고, 지시, 문, 보고, 청와대, 상황, 대응, 오전, 시"
73,"헝가리, 수색, 한국, 시, 다이버, 오후, 현지, 다뉴브강, 유람선, 사고"
74,"서비스, 공유, 공유경제서비스, 공유경제, 물건, 플랫폼, 국내, 기존, 필요, 거래"
75,"검찰, 수사, 경찰, 과거사위, 당시, 철거민, 혐의, 진압, 조사, 사건"
76,"운전, 면허, 운전자, 고령자, 고령, 능력, 검사, 교육, 세, 인지"
77,"트윗, 트럼프, 대통령, 트위터, 그, 미국, 세계, 만, 하루, 민주당"
78,"보이스피싱, 전화, 앱, 계좌, 지난해, 금융, 문자메시지, 금감원, 사기범, 피해"
79,"트럼프, 아베, 대통령, 각국, 호의, 지도자, 총리, 국익, 한국"
80,"인수, 주총, 조선, 조선업, 현대중공업, 대우조선, 국내, 조선소, 글로벌, 노조"
81,"법무부, 법원, 셔터, 수용자, 관계자, 감, 호송차, 지침, 시설, 구치"
82,"선호도, 자동차, 세계, 색상, 흰색"
83,"대통령, 사고, 시, 오전, 상황, 보고, 헝가리, 청와대, 현지, 외교부"
84,"직원, 대사, 몽골, 깐풍기, 대사관, 행정, 고려, 정, 논란, 제기"
