index,topics
85,"북한, 청와대, 발사, 미사일, 우려, 단거리탄도미사일, 군, 미, 도발, 표명"
86,"북한, 미국, 총리, 발사, 한국, 히, 연대, 정보, 아베, 일본"
87,"파업, 노조, 울산, 건설, 레미콘, 산업, 현대차, 물, 분할, 플랜트"
88,"북한, 미사일, 발사, 요격, 군, 고도, 도발, 이스칸데르, 사거리, 거"
89,"일본, 의원, 회장, 누카, 방, 자민당, 서, 국회, 입장, 제외"
90,"제소, 일본, 해결, 협의, 위원, 정부, 규제, 통상, 양자, 상소"
91,"한국, 일본, 한, 정부, 아베, 총리, 신뢰, 갈등, 합의, 관계"
92,일본
93,"의원, 일본, 한국, 수출, 양국, 규제, 누카, 회장, 도쿄, 자민당"
94,"경제, 프리드먼, 시장, 자유, 정부, 검찰, 선택, 총장, 공해, 공정"
95,"등급, 무디스, SK하이닉스, 전망, 일본, 수출, 규제, 신용등급, 생산, 차질"
96,"생산, 지수, 감소, 하락, 제조업, 능력, 분기, 연속, 규제, 산업"
97,"탄도미사일, 발사, 요격, 북한, 신형, 미사일, 고도, 군, 풀, 업"
98,"호날두, 당, 정당"
99,"당, 민주연구원, 보고서, 갈등, 총선, 연구원"
100,"외교부, 일본, 한국, 강제, 징용, 판결, 규제, 보복, 문건, 기업"
101,
102,"신형, 잠수함"
103,"유, 소포, 진보, 구속, 영장, 서울, 서울대, 학생, 연합, 경찰"
104,
105,"분기, 전망, 한국, 기업, 투자, 작년, 생산, 실적, 제조업, 우려"
106,"대표, 논란, 기자, 리더십, 편, 당, 친박, 황"
107,"당, 총선, 갈등, 보고서, 국민, 한, 연구원, 민주당, 책임, 비판"
108,"일본, 정책위의장"
109,"일본, 소재·부품, 김, 실장, 산업, 예상, 관련, 보복, 조치, 국산"
110,"협상, 중국, 미중, 합의, 무역협상, 분, 미국, 트럼프, 미, 대통령"
111,"위원회, 국가, 사무국, 물, 유역, 환경부, 민간, 관리, 지원, 결정"
112,"연금, 계좌, 삼성증권, 시스템, 개설"
113,"만, 보험료, 이용, 혜택, 급여, 소득, 지난해, 보험, 부담, 건강보험"
114,"상품, 가격, 저가, 매입, 상시, 유통, 제품, 이마트, 국민, 간"
115,"사업, 신재생에너지, 투자, 이번, 기관, 코이카, 추진, 개발도상국, 보급, 비즈니스"
116,"부실, 채권, 회원, 조합, 건전, 수협, 지원, 협력, 매각, 재무"
117,"서울중앙지검, 수사, 차장, 부장, 장, 특수, 검사, 인사, 대검, 검찰"
118,"선장, 헝가리, 사고, 유리, 영장, 검찰, 부다페스트, 허블레아니호, 보석, 결정"
119,"발사, 요격, 북한, 정점, 고도, 비행, 미사일, 발, 탄도미사일, 탐지"
120,"갈등, 한국, 안보, 핵, 안정, 구조, 미국, 억, 달러, 한"
121,"검찰, 장, 경제, 수사, 서울중앙지검, 배, 지검"
