index,topics
0,"만, 카메라, 사양, 거, 모델, 화소, 삼성전자, 스마트폰, 가격, 갤럭시"
1,"위헌, 법률, 보상, 결정, 보상금, 광주민주화운동, 청구, 헌재, 심판, 법"
2,"미, 북, 대통령, 정상, 언론, 미국, 트럼프, 정상회담, 일본, 북한"
3,"모습, 위원장, 김, 수행원, 회담, 미국, 분석, 노동당, 부부장"
4,"대통령, 트럼프, 분, 김, 위원장, 문, 회담, 정상, 시, 자유"
5,"대통령, 트럼프, 김, 위원장, 정상, 미, 판문점, 문, 북, 자유"
6,"대통령, 트럼프, 카, 보좌관, 이방, 만찬, 박세리, 감독, 엑소, 선수"
7,"미국, 화웨이, 기업, 제재, 애플, 제품, 중국, 판매, 상황, 해석"
8,"대통령, 핵, 대변인, 평화, 북, 트럼프, 한반도, 수석, 과정"
9,"재개, 연구, 포경, 상업, 일본, 고래, 탈퇴, 고래고기, 만, 키"
10,"시글리, 북한, 모리슨, 총리, 정상, 계정, 실종, 호주, 회의, 페이스북"
11,"경비, 경비원, 회장, 사, 조, 허가, 취소, 사택, 업체, 업"
12,"작성, 한글, 민원, 서류, 신청, 기존, 서비스, 프로그램, 납부, 서식"
13,"대통령, 북, 트럼프, 미국, 판문점, 정상, 북한, 문, 순간, 미"
14,"매립장, 수색, 경찰, 시신, 고유정, 뼛조각, 남편, 사건, 추정, 발견"
15,"대통령, 트럼프, 문, 전략, 미국, 회담, 인도태평양, 협력, 정상은, 미"
16,"대통령, 미, 김, 위원장, 트럼프, 북, 정상회담, 제안, 시한, 성과"
17,"정장, 청년, 면접, 시, 사업, 취업, 준비, 청주"
18,"상품, 가입, 금융, 서비스, 보험, 고령, 지정, 이용, 대상, 고객"
19,"코스닥, 바이오, 시장, 업종, 조, 억, 지수, 제약, 배, 규모"
20,"만, 주택, 채, 지구, 공급, 수도권, 계획, 공공, 기, 규모"
21,"추석, 포장재, 선물세트, 상자, 친환경, 포장, 스티로폼, 종이, 쿨러, 백"
22,"정책, 단계, 한전, 전기, 요금, 안, 손실, 여름철, 이사회, 누진"
23,"차량, 공유, 편도, 서울시, 카, 업체, 쏘카, 운행, 계획, 린카"
24,"이동, 무더위, 쉼터, 기관, 노동자, 택배, 운영, 도"
25,"여성, 보좌관, 역량, 강화, 장관, 이방, 카, 한, 미, 평화"
26,"물, 물놀이, 분수, 염소, 바닥, 잔류, 세균, 바이러스, 눈, 오염"
27,"티눈, 사마귀, 감염, 교수, 피부, 굳은살, 각질, 부위, 질환, 압력"
28,"자외선, 피부, 차단, 성분, 크림, 제품, 방식, 선, 여름철, 자극"
29,"관절, 종근당건강, 건강, 성분, 대표, 연골, 불편, 섭취"
30,"요산, 약, 통풍, 환자, 생성, 효과, 부작용, 개발, 사용, 배설"
31,"카드, 혜택, 발급, 중단, 상품, 기간, 소비자, 알짜, 수수료, 신규"
32,"시장, 국내, 차, 출시, 대, 팰리세이드, 하반기, 한국GM, 중형, 기아차"
33,"결제, 해외, 수수료, 간편결제, 신용카드, 카드, 일본, 여행, 국내, 서비스"
34,"억, 기업, 자산, 가치, 게임, 연예인, 회사, 산업, 방탄소년단, 육성"
35,"지급, 금, 발생, 처리, 가지급금, 인건비, 억, 회계, 노동자, 비용"
36,"배당, 증여세, 차등, 주주, 과세, 자녀, 억, 소득세, 본인, 배우자"
37,"침향, 녹용"
38,"정책, 중요, 나라, 기억, 물, 국민, 정치, 세력, 참여, 결과"
39,"환자, 콜레스테롤, 테니스엘보, 힘줄, 통증, 건강, 변성, 혈, 확인, 병원"
40,"간염, 검진, 환자, 감염, 국가, 질환, 치료, 퇴치, 바이러스, 위험"
41,"유산균, ‘락토핏, 제품, 코어, 종근당건강"
42,"산케이, 정부, 일본, 기업, 한국, 수출, 소재, 반도체, 국내, 보도"
43,"증시, 지수, 상승, 상반기, 대표, 국가"
44,"인구, 여성, 추계, 감소, 올해, 곳, 예상, 통계청, 성비, 시"
45,"위원, 민간, 심사, 국세청, 납세자, 직책, 해촉, 국세"
46,"거래, 시스템"
47,"환자, 왕진, 병원, 왕지, 의사, 고려, 수가, 진료, 요양, 방안"
48,"재심, 청구, 검찰, 직권, 사건, 피해자, 평가"
49,"대통령, 미국, 문, 트럼프, 미, 비핵화, 한, 단계, 무역, 강조"
50,"대통령, 트럼프, 미, 정상, 미국, 초소, 북한, 장병, 골프, 위험"
51,"듀얼, 스크린"
