index,topics
0,"신협, 아시아, 연합회"
1,"금리, 대출, 한은, 직원, 주택, 예산, 자금, 만, 포인트, 연"
2,"서울교통공사, 전환, 채용비리, 공정, 과정, 지적, 정규직, 친인척, 서울시, 공공기관"
3,"집행, 구속, 검거, 재판, 형, 인력, 피고인, 지난해, 도주, 발생"
4,"포상금, 지급, 관세청, 만, 포상, 공무원, 내부, 관세, 국세청, 규정"
5,"작동, 김해, 사고, 조사, 군, 설치, 경찰, 방화, 셔터"
6,"김, 글, 국대떡볶이, 문재인, 대통령, 장관, 고발"
7,"해양, 산업, 바이오, 육성, 해양바이오산업, 연구, 충남, 도, 기업, 장항"
8,"치과교정학, 치과, 교정, 대한, 회, 세계"
9,"수술, 로봇, 암, 자궁, 치료, 여성, 가능, 난소암, 다빈치, 내막"
10,지원
11,"공장, 숲, 그루, 기업, 나무, 만, 사업장, 조성, 도, 미세먼지"
12,"창업, 서울시, 지원, 공간, 벤처, 청년, 기업"
13,"양, 아파트, 이웃, 창틀, 층, 구조, 남성, 인상, 불길, 상황"
14,"검찰, 장관, 임명, 조, 윤, 총장, 청와대, 질문, 수사, 관련"
15,"지역, 김포페이, 김포시, 결제, 경제, 사용, 혜택, 블록체인, 기술, 발행"
16,"치약, 과산화수소, 미백, 치아, 효과, 치과, 사용, 인스타그램, 제품, 숯"
17,"수면, 뇌, 숙면, 감태, 추출물, 치매, 장애, 도움, 잠, 증가"
18,"침향, 녹용, 신체, 증진, 건강, 원료"
19,"바리스타, 스타벅스, 교육, 어르신, 교육장, 상생, 실버, 한국, 커피, 시니어클럽"
20,"지원, 재단, 인공, 관절, 수술, 노인, 사업, 기부금"
21,"실업급여, 기간, 임금"
22,"플라잉카, 개발, 현대차, 미국, 항공, 부사장, 기술, 도심, 사업, 사업부"
23,"외환, 달러, 시장, 당국, 개입, 금액, 한은, 분기, 억, 순매도"
24,"만, 억, 금융, 주택, 요건, 안심전환대출, 신청, 가격, 접수, 지원"
25,"억, 기업, 국내, 조, 애, ᆸ, 점유율, 구글, 지난해, 시장"
26,"생산, 산업, 대비, 투자, 상승, 전월, 지표, 하락세, 개월, 경기"
27,"태국, 비율, 부실, 채권, 부채, 가계부채, 사장, 공공, 가계, 처리"
28,
29,"에이즈, 약물, 치료제, 복용, 감염, 치료, 약, 농도, 부작용, 타인"
30,"스트레스, 리스, 에이스침대, 리클라, 너, 제품, 휴식, 리클라이너, 소비자, 완벽"
31,"배터리, 기술, SK이노베이션, 연구소, LG화학, 회사, 지난달, 기업, 길, 침해"
32,"검찰, 수사, 장관, 피의사실공표, 조, 언론, 공개, 내용, 상황, 이사장"
33,"태풍, 미탁, 타이완, 지방, 비, 제주도, 예상, 지역, 밤, 영향"
34,"당, 의원, 대표, 정치, 바른, 미래, 파, 비상행동, 회의, 권은희"
35,"장관, 김, 비판, 참여연대, 위원장, 글, 조"
36,"미세먼지, 기후환경회의, 제안, 차량, 차, 농도, 정책, 등급, 운행, 경유"
37,"단축, 출산, 임금, 휴가, 육아, 근로시간, 사용, 배우자, 육아휴직, 가능"
38,"수사, 총장, 검사, 검찰, 그, 장관, 장, 윤, 글, 의혹"
39,"중국, 샤오미, 혁명, 미국, 기업, 억, 경영, 시장, 레이쥔, 지구전"
40,"정, 교수, 관련, 자녀, 검찰, 인턴, 활동, 보도, 장관, 서울대"
41,"보험료, 납부, 수령액, 수령, 부부, 쌍, 만, 연금, 수급, 세"
42,"삼성전자, 장비, 유럽, 노키아, 삼성, 중국, 상용, 에릭슨, 화웨이, 통신"
43,"검찰, 개혁, 대통령, 문, 방안, 지시, 자체, 정부, 검찰총장, 법무부"
44,"파리, 런던, 알렉스, 그, 패션위크, 드미트리, 무대, 아이, 인스타그램, 패션"
45,"업무, 학과, 설립, 개선, 직업, 공무원, 안정, 혼자, 근무, 온라인"
46,"사우디, 반군, 예멘, 후티, 사우디아라비아, 남부, 연합군, 공개"
47,"정규직, 채용, 공사, 교통, 감사원, 직원, 전환, 친인척, 입사, 서울시"
48,"여성, 경찰, 화장실, 대, 남성, 수사"
49,"한국, 미국, 억, 트럼프, 달러, 미, 방위비, 조, 무임승차, 분담금"
50,"검찰, 수사, 장관, 통제, 대통령, 민주, 검찰총장, 총장, 문"
51,"수사, 대통령, 검찰, 장관, 개혁, 조, 국민, 검찰총장, 조직, 집회"
52,"경제, 소득, 정부, 정책, 지표, 일자리, 주도, 성장, 의원, 부인"
53,"철수, 트럼프, 미, 주한미군, 노벨상, 그, 미군, 거, 대통령, 핵"
54,"사법부, 대통령, 사법, 독립, 대법원, 개혁, 대법원장, 관계, 인사, 법관"
55,"의사, 윤리, 조, 장관, 병원, 사무장, 의대, 딸, 행위"
56,"대학, 입시, 활동, 영국, 반영, 대입, 시험, 자녀, 학력고사, 수능"
57,"볼턴, 트럼프, 북한, 대통령, 협상, 공직, 정책, 외교, 그, 리비아"
58,"경제, 위기, 외환위기, 재정, 상황, 기업, 정부, 한국, 금융, 성장"
59,"아파트, 배관, 주택, 연구, 문화, 건설, 탓, 고장, 바닥, 아랫집"
60,"미국, 유엔"
61,"그, 동맹, 부분, 북한, 핵, 한국, 볼턴, 미국, 제재, 미"
62,"욱일기, 대회, 결의안, 패럴림픽, 경기장, 금지, 촉구, 도쿄올림픽, 조직, 위원회"
63,"유엔, 대사, 공동, 성명, 미, 행위, 미국, 이행"
64,"미국, 대사, 유엔, 공동, 이행, 평화, 성명, 김, 연설, 미"
65,"독일, 배기가스, 조작, 폴크스바겐, 사건, 소송, 소비자, 디, 관련, 집단"
66,"관광, 일본, 한국, 교류, 만, 갈등, 한, 양국, 대사, 한일"
67,"억, 증여, 재산, 강남, 성년자, 3구"
68,기자
69,"홍, 마약, 검찰"
70,"태풍, 영향, 미탁, 지방, 기상청, 비, 남부, 올해, 한반도, 제주도"
71,"자살, 학생, 행동, 위험, 만, 증가, 군, 검사, 극단, 유튜브"
72,"돼지, 경기, 농장, 신고, 방역, 마리"
73,"암, 의료비, 발병, 엘러간, 보형물, 환자, 수술비, 보상, 물, 검사"
74,"고용, 근로자, 기아차, 불법, 파견, 협력업체, 지시, 해당, 시정, 검찰"
75,"복지, 인천, 건강, 교육, 제공, 시민, 계획, 장애인"
76,"포에버21, 미국, 부부, 의류, 신청, 법원, 점포, 회사"
77,"주석, 상무위원, 시위, 마오쩌둥, 중국, 건국, 주년, 시, 홍콩, 그"
78,"국민당, 자유당, 쿠르츠, 총리, 석, 대표, 그, 오스트리아, 총선, 위"
79,"소비세, 일본"
80,"대통령, 내부고발자, 트럼프, 조사, 민주당, 그, 미국, 탄핵, 백악관, 주장"
81,프랑스
82,"키신저, 장관, 외교, 대통령, 미국, 폼페이, 오, 미중, 중국, 미"
83,"환경, 참여, 컵, 관심, 회, 기후변화, 양, 프로그램, 청소년, 운동"
84,"만, 게임기, 압수, 공단, 환경, 폐기, 창고, 불법, 게임, 수사"
85,"만기, 일본, 연장, 금융, 억, 기업, 곳, 신청, 건, 수출규제"
86,"개월, 소비, 생산, 경기, 투자, 제조업, 차, 만, 지표, 하락"
87,"투자, 공유, 현대차그룹, 업체, 승차, 지분, 플랫폼, 스타트업, 미국, 규모"
88,"항공, 모빌리티, 도심, 개발, 기술, 연구"
89,"쇼케이스, 오디오, 국내, 체험, 삼성, 디스플레이"
90,"보증, 분양, 전세금, 반환, 심사, 집값, 사업, 그, 사장, 주택"
91,"채용, 하반기, 신입"
92,"중고차, 매물, 자동차, 차량, 확인"
93,
94,"롯데, 펀드, 투자, 스타트업, 억, 조성, 지원, 규모, 롯데액셀러레이터, 이번"
95,파리
96,"가스, 터빈, 기술, 국산, 정부, 산업, 발전, 발전사, 한국, 제품"
97,"고객, 컨설턴트, 보험, 유지, 그, 삼성생명, 가입"
98,"글로벌, 시장, 펀드, 자산, 변동, 수익, 대체, 투자, 주식, 대안"
99,"통화스와프, 외화, 체결, 부족, 중앙은행, 계약, 은행, 공급, 금융, 한국"
100,"플리, 패션, 만, 색상, 재킷, 소재, 적용, 업체, 디자인, 올해"
101,"매장, 이마트, 금액, 삼성, 공항, 비디비치, 일정, 지원, 프로모션, 매월"
