index,topics
75,"술, 방송, 운전, 인터넷, 오토바이, 진행, 강, 경찰, 임"
76,"내용, 의원, 외교, 통화, 강, 부, 정상, 간, 대통령, 한미"
77,"피해, 한전, 지급, 금액, 산불, 손해, 사정, 고성, 부실, 심의"
78,"물가, 상승, 수요, 하락, 지난해, 소비자, 정부, 석유, 부진, 요인"
79,"시장, 경제, 부동산, 장관, 투자, 금융, 정책, 안정, 새해, 강조"
80,"행장, 금융, 윤, 수석, 대통령, 기업, 은행장, 출신, 차기, 내정"
81,"상자, 장바구니, 종이, 테이프, 대형마트, 자율포장대, 이마트, 롯데마트, 홈플러스, 사용"
82,"정전, 사업장, 화성, 반도체, 발생, 생산, 분, 전력, 삼성전자, 중단"
83,
84,"급, 선발, 공채, 국가, 공무원, 지난해"
85,"북한, 조치, 전원회의, 미국, 김, 위원장, 길, 외교, 대북제재, 관련"
86,"교육, 교육부, 선거법, 협의, 시도, 교육청, 가이드라인, 실무"
87,"후보자, 총리, 인사청문, 국회, 여야, 정, 증인"
88,"대통령, 국민, 새해, 문"
89,"의원, 총선, 김"
90,"미국, 정책, 대통령, 트럼프, 북한, 중국, 한국, 외교, 그, 국가"
91,"검찰, 인사, 수사, 후보자, 장관, 대통령, 국회, 추, 임명, 청와대"
92,"헌법, 공수처, 검사, 수사, 위헌, 규정, 기관, 법, 임명, 주장"
93,"조, 장관, 확인서, 비서관, 혐의, 허위, 청와대, 최, 아들, 업무"
94,"검찰, 국민, 헌법, 윤, 총장"
95,"조, 장관, 장학금, 노, 원장, 교수, 만, 검찰, 지급, 부산대"
96,"장관, 검찰, 기소, 조, 수사, 변호인단, 결과, 인디언, 기우제"
97,"업무, 공무원, 후임자, 주, 보직, 도쿄, 술, 일본, 자리, 부실"
98,"공무원, 급, 부처, 충, 사무관, 혁신"
99,"장관, 조, 비서관, 허위, 검찰, 아들, 위조, 최, 입시"
100,"공무원, 혁신, 적극, 공직, 정부, 행정, 부처, 아이디어, 복지"
101,"한국, 100년, 청년, 꼰대, 미래, 상, 그, 기업, 다음, 리더"
102,"회장, 보험, 금리, 필요, 서비스, 혁신, 자동차보험, 진료, 장, 변화"
103,"사고, 블랙아이스, 도로, 발생, 추돌, 얼음, 정부, 후, 겨울철, 원인"
104,"시가, 기준, 오피스텔, 건물, 지난해, 서울, 강남구, 청담, 국세청, 상업"
105,
106,"파업, 노조, 생산, 르노삼성차, 집회, 자동차, 노조원, 지난해, 부산, 공장"
107,"회장, 사장, 쥐, 띠, 경영, 경영인, 변화, 재계, 정, 전문"
108,"위, 회장, 억, 삼성전자, 지분, 가치, 조, 보유, 주식, 올해"
109,"새벽배송, 만, 상품, 건, 닷컴, 가능, 백화점, 배송, 지역, 물량"
110,"경영, 사업, 허, 회장, 그룹, 그, 집안, 에너지, 투자, 홈"
111,
112,"가격, 전망, 지역, 전세, 아파트, 주택, 매매, 수준, 변동, 부동산"
113,
114,
115,"군산시, 보험, 가입, 발생, 상해, 영, 유아, 위로금, 시민"
116,"대통령, 오바마, 위, 조사, 트럼프, 존경"
117,
118,"식, 직장인, 행사, 시무, 종, 무식, 필요, 온라인, 사내, 기업"
119,"측정, 기기, 관리, 대행, 업체, 굴뚝, 자동, 위반, 수도권대기환경청, 업"
120,"지원, 분야, 확대, 만, 경남, 부담, 시책, 도민, 일자리, 사업"
121,"교육, 중심, 수업, 학교, 혁신, 확대, 학생, 미래, 경남, 문화"
122,"사업, 정책, 전문, 여성, 부서장, 인사"
123,"학교, 재능, 영재, 운영, 계발, 탐색, 교육, 기회, 융합"
124,"송해, 전국노래자랑"
125,"세대, 20대, 2000년대, 그, 거, 자체, 자기, 안정, 성취, 지향"
126,"폴란드, 러시아, 푸틴, 차, 대전, 유럽, 대통령, 소련, 나치, 독일"
127,"희망, 해, 인내, 탄력, 편, 싸움, 현상, 쪽, 목소리, 상황"
128,"총선, 선거, 한국당, 대, 정치, 구도, 보수, 한반도, 여당, 당"
129,"북한, 미국, 미, 북, 도발, 트럼프, 제재, 대통령, 대화, 가능성"
130,"대통령, 위, 존경, 트럼프, 오바마, 갤럽, 조사, 지지, 미국, 올해"
131,"의원, 당론, 공수처, 초선, 금, 소신, 당, 장관, 조"
132,"선언, 종전, 평화, 전쟁, 북, 미, 협정, 미국, 한반도, 북한"
133,"경제, 한국, 세계, 변화, 여건, 경기, 대외"
134,"추진, 산림, 목표, 방지, 이행, 대응, 국가, 북한, 온실, 가스"
135,"부동산, 안정, 질서, 적발, 시, 거주, 실수요자, 시장, 주택, 강화"
136,"무역, 합의, 서명, 중국, 미국, 단계, 합의문, 확인, 다음, 주"
137,"기준, 시가, 오피스텔, 서울, 건물, 지역, 가격, 전국, 상업, 경기"
138,"금융, 혁신, 기술, 총재, 업무, 디지털, 감독, 신년사, 빅데이터, 화폐"
139,"장관, 조, 검찰, 아들, 혐의, 장학금, 교수, 시험, 만, 적용"
140,"의료진, 병원, 의료, 환자, 사건, 보안, 인력, 배치, 임, 교수"
141,"분, 시, 강원, 기상청, 오전, 경북, 발표, 일출"
142,"트럼프, 대통령, 대선, 민주당, 미국, 경제, 호황, 주, 승리, 선거"
143,"중국, 미국, 관계, 북한, 한국, 경제, 발전, 미, 제재, 북"
144,"아열대, 어종, 제주, 재배, 상승, 만, 변화, 어획량, 연안, 지난해"
145,"오너, 경영, 기업, 일가, 일탈, 행위, 이유"
146,"흙탕물, 토지, 매입, 사업, 억, 발생, 한강, 밭, 조성, 도"
147,"인천, 사업, 도시, 시장, 내항, 영종, 박, 마중, 물, 개항"
148,"포인트, 업황, 기업, 전월, 전망, 상승, 제조업, 경기, 지수, 산업"
149,"수사, 국민, 검찰, 대응, 범죄, 최선, 권력, 윤, 총장"
150,"터미널, 물체, 확인, 다이너마이트, 해당, 폭발물, 진천, 의심, 모조품, 배낭"
151,"천사, 얼굴, 성금, 만, 전주, 용의자, 메모, 주민, 경찰, 사건"
152,"전원회의, 북한, 김, 위원장, 길, 대응, 신년사, 미, 진행, 이례"
153,"복직, 승무원, 해고, 철도, 전환, 자회사, 공사, 행사, 직, 김"
154,"의원, 강, 참사관, 통화, 내용, 외교, 기밀, 누설, 혐의, 감"
155,"위쿡, 스타트업, 기업, 그, 사업, 주방, 회사, 공유, 송, 종사자"
156,"수사, 경찰, 검찰, 검사, 범죄, 조정, 조정안, 사건, 통과, 권한"
157,"장학, 논문, 재단, 국제"
158,"송, 시장, 청와대, 수사, 검찰, 측, 문구, 업무수첩, 대통령, 공약"
159,"보건, 복지, 상담, 센터"
160,"대형마트, 포장, 테이프, 할인, 행사, 상자, 자율포장대, 정책, 소비자, 끈"
161,"북한, 미국, 폼페이, 장관, 오, 그, 길, 도발, 선택"
162,"추, 국회, 후보자, 임명, 대통령, 장관, 송부, 보고서, 요청, 검찰"
163,"자녀, 지난해, 제주도, 조례, 개정, 출산, 기준, 완화, 제주, 지역"
164,"기술, 제품, 삼성전자, 로봇, 미국, 행사, 가전, LG전자, 사, 규모"
165,"정치, 법, 야당, 여당, 법안, 국회, 통과, 처리, 절차, 해"
166,"학교, 중심, 교육, 확대, 경남, 문화, 조성, 체험, 강화, 지원"
167,"닷컴, 새벽배송, 새해, 서울, 지역"
168,"주, 트럼프, 애리조나, 대통령, 미국, 백인, 음모론, 민주당, 그, 우드스"
169,"장관, 검찰, 조, 기소, 혐의, 변호사, 수사, 내용"
170,"가격, 업계, 달러, 램, 반도체, 최근, 반등, 인치, 디스플레이, 업체"
171,"전환, 수술, 환자, 암, 치료, 항암제, 교수, 세포, 기, 위암"
172,"미국, 교수, 경제, 하버드대, 서머, 모의, 회의, 장관, 지수, 경제학"
173,"사업, 차, 기업, 시장, 올해, 분야, 소재, 롯데, 대표, 전환"
174,"중국산, 정, 태양, 광, 공단, 부품, 녹색, 드림, 에너지, 의원"
175,"스즈키, 그, 지사, 유바리, 일본, 고이즈미, 홋카이도, 문예, 춘추, 장관"
176,"유전자, 그, 편집, 교수, 연구, 허, 주장, 아이, 중국, 세계"
177,"장, 한국당, 추천, 공수처, 야당, 몫, 후보, 교섭단체, 총선, 위원"
178,"폐렴, 중국, 환자, 원인, 우한, 조사, 상황, 발생, 환구망, 위생"
179,"상무, 샘플, 제품, 기능, 국내, 실험실, 연구원, 단가, 제조, 규제"
180,"검사, 공수처, 헌법, 변호사, 수사, 위헌, 청구, 국회, 소원, 가능"
181,"부장, 가격, 집값, 억, 주택, 대책, 서울, 시장, 부담, 강남"
182,"지역, 위, 경제, 키, 워드, 부동산, 동남권, 시장, 조사, 부산"
183,"조찬호, 배송, 쿠팡, 시, 아침, 트럭, 로켓, 혁신, 등급, 택배"
184,"총선, 대, 대표, 대통령, 한국당, 선거, 자유, 황교안, 보수, 석"
185,"투표, 정당, 선거, 세, 대, 비례대표, 이상, 답, 내년, 총선"
186,"투표, 현역, 응답, 정치인, 국회, 한국당, 양당, 의원, 요구, 지역구"
187,"정의당, 비례대표, 석, 투표, 조사, 민주당, 총선, 정당, 비례, 결과"
188,"위, 지지, 대표, 지사, 총리, 서울, 대, 차기, 여론조사, 이상"
189,"지지, 응답, 정당, 조국, 사태, 정의당, 이후, 지지자, 비율, 연령"
190,"책임, 협상, 북한, 미국, 지지, 한국, 트럼프"
191,"긍정, 평가, 부정"
192,"공수처, 수사, 검찰, 국회, 통보, 범죄, 장, 조항, 반발, 고위공직자"
193,"장관, 조, 아들, 검찰, 혐의, 기소, 시험, 장학금, 관련, 입시"
194,"북한, 폼페이, 장관, 비핵화, 오, 미국, 협상, 기조, 약속, 준수"
195,"전원회의, 당, 건설, 북한, 김, 위원장, 협상, 체제, 차, 신년사"
196,"한국당, 하한선, 국회, 선거구, 획정, 인구, 전북, 심재철, 원내대표, 공직"
197,"전통, 대표, 국민, 민생, 시장, 황교안"
198,"의원, 금, 당, 기권, 민주당, 당론, 표결, 조, 금태섭, 징계"
199,"의원, 한국당, 불출마, 헌법, 책임, 법, 처리, 대표, 총선, 직"
200,"경제, 미국, 기업, 세계, 상위, 정치, 트럼프, 부자, 라이, 시"
201,"부진, 기록, 연간, 석유, 물가, 상승, 우려, 수요, 경기, 정부"
202,"지구, 기후변화, 도시, 재앙, 마지막, 간, 새해, 지구온난화, 가디언, 도"
203,"수사, 총재, 김, 직, 채용, 의혹, 경찰, 대통령"
204,"장애인, 시설, 지원, 주택, 그, 새해, 신, 활동, 이사, 생활"
205,"확성기, 대북, 사업, 군"
206,"농성, 해고, 고공, 노동자, 철탑, 강남역, 김용희, 옥상, 톨게이트, 서울"
207,"송, 선거, 부시장, 검찰, 혐의, 공무원, 수사, 구속, 기각, 개입"
208,"사업장, 발생, 재해, 산업, 이상, 산재, 명단, 안전, 법, 위반"
209,"한파, 기승"
210,"분권, 지역, 위원장, 지방, 균형발전, 자치, 정부, 중앙, 재정, 송"
211,"취업, 영리, 제한, 기관, 분야, 만, 억, 심사, 퇴직, 법인"
212,"이라크, 시위대, 바그다드, 미, 이날, 공습, 대사관"
213,"무역, 단계, 미국, 합의, 트럼프, 자유, 경제, 관세, 중국, 협정"
214,"장비, 화웨이, 인도, 중국, 정부, 배제, 시범, 사업, 미국, 도입"
215,"총리, 여성, 남성, 턴, 얼굴, 뉴질랜드, 사진, 대, 성, 차별"
216,"중국, 신년사, 성공"
217,"발파라이소, 시위대, 경찰, 진압, 차량"
218,"무역, 합의, 단계, 자유, 경제, 관세, 미국, 중국, 협정, 서명"
219,"만, 인구, 감소, 증가, 미국, 출산, 2019년, 최저, 기록, 간"
220,"일본, 회장, 레바논, 곤, 사법, 보석, 재판, 혐의, 검찰, 그"
221,"경제, 브렉시트, 선거, 여부, 세계, 미중, 총통, 영국, 한국, 이벤트"
222,"복직, 공장, 자동차, 회사, 업체, 파업, 노사, 노동자, 차, 엠"
223,"대출, 금리, 포인트, 억, 은행, 최저, 평균, 전월, 예금, 천만"
224,"기준, 시가, 건물, 상업, 오피스텔, 서울, 세종, 국세청, 계산, 상속·증여"
225,"아파트, 값, 폭, 반, 새, 조사, 상승, 서울, 전국, 만"
226,"대통령, 위, 오바마, 트럼프, 미국, 조사"
227,"논문, 분야, 급, 과정"
228,
229,"기사, 면, 일자, 관련, 독자, 제목, 신문, 내용, 서울, 보도"
230,"검찰, 가지, 위험, 조정, 국민, 검사, 그, 권한, 법안, 명제"
231,"한, 협력, 일본, 한국, 과제, 가치관, 한일, 간, 관계, 해결"
232,"정부, 경제, 한국, 지난해, 정치, 총선, 올해, 대화, 경기, 부동산"
233,"요금, 전기, 할인, 한전, 특례, 정부, 적자, 조, 인상"
234,"마일리, 지, 항공사, 소비자, 소멸, 포인트, 입장, 기업"
235,"수사, 검찰, 공수처, 혐의, 기소, 경찰, 김, 차관, 이용호, 신"
236,"소득, 연, 한도, 연말정산, 금액, 공제, 만, 세금, 세액공제, 대상"
237,"거래, 증가, 대책, 대출, 작용, 시, 만큼, 제한, 보증, 서울"
238,"양, 사망, A씨, 투신, 충돌, 언론, 남성, 여학생, 건물, 추가"
239,"미, 중국, 미국, 북한, 남북, 관계, 필요, 북, 협상, 그"
240,"대통령, 공정, 스타일, 문, 개혁, 국민, 이상, 원칙, 리더, 에니어그램"
241,"경제, 공정, 기업, 일부, 유지, 발전, 혁신, 한국, 독점, 응답"
242,"스타일, 한국당, 유형, 이미지, 공정, 민주당, 에니어그램, 도덕, 대상, 분석"
243,"보수, 정책, 공감, 소극, 진보, 적극, 정부, 조사, 진영, 공공"
244,"보수, 적극, 진보, 성향, 이념, 소극, 국민, 정치, 공감, 호감"
245,"북, 공감, 보수, 진보, 적극, 프레임, 종, 소극, 성향, 응답자"
246,"국민, 정치, 삶, 대법원장, 신년사, 재판"
247,"공수처, 수사, 의원, 추천, 한국당, 대통령, 처리, 장, 설치, 법안"
248,"검찰, 청와대, 장관, 수사, 교수, 결과, 비리, 조, 기소, 진"
249,"차, 전기, 차량, 자율주행, 산업, 기술, 내연기관차, 공유, 운전자, 기존"
250,"해, 신년사, 정책, 생산, 노력, 보호, 통화, 유지, 흐름, 반등"
251,"파랑, 유대감, 조국, 사태, 이념, 한국, 억압, 공정, 지배, 색"
252,
253,"판사, 민주당, 영입, 부장판사, 사법, 호"
254,"수사, 윤, 검찰, 청와대, 총장, 신뢰, 장관, 국민, 대통령, 조국"
255,"국민, 정치, 새해, 문, 대통령, 삶, 신년사, 대법원장"
256,"물가, 상승, 기록, 소비자, 정부, 역대, 최저, 전년, 근원, 만"
257,"중국, 단계, 미국, 무역, 합의, 서명, 협상, 관세, 트럼프, 대통령"
258,"여성, 그, 장애인, 대표, 장애, 시각장애인, 정, 권리, 거, 세상"
259,"미국, 북한, 김, 위원장, 연말, 대화, 협상, 미, 길, 언급"
260,"메시지, 오류, 새해, 장애, 현상, 카카오톡, 사용자, 불편, 시, 일부"
261,"적대, 김, 경제, 미국, 위원장, 안전, 조선, 대화, 제재, 존엄"
262,"정치인, 아이, 여성, 선거, 어머니, 신조, 정치, 실언, 최악, 선정"
263,"장관, 조, 정, 교수, 기소, 편지, 공개, 내용, 페이스북, 구속"
264,"송, 부시장, 영장, 혐의, 구속, 기각, 검찰, 공무원, 범죄, 지방선거"
265,"의원, 내용, 외교, 김, 통화, 혐의, 강, 검찰, 누설, 기밀"
266,"한, 해리스, 해, 지소미아, 미, 한국, 미국, 동맹, 대사, 사진"
267,"A씨, 경찰, 인천, 흉기, 남성, 타살, 조사"
268,"의원, 김, 총선, 대표, 헌법"
269,"단계, 합의, 중국, 미국, 무역, 서명, 관세, 금지"
270,"회의, 그, 위원장, 이번, 제1부부장, 정치국, 위원, 김, 당, 부장"
271,"미국, 핵, 조선, 김, 위원장, 대화, 반도, 적대, 정책, 위협"
272,"김, 위원장, 미국, 조선, 북한, 안전, 차, 진행, 보도, 중단"
273,"적대, 미국, 정책, 김, 위원장"
274,
275,"외교, 내용, 대통령, 의원, 통화, 혐의, 강, 기밀, 누설, 김"
276,"하반기, 펀드, 주식, 가치, 주가, 가격, 시장, 부동산, 투자, 국내"
277,"경제, 성장, 투자, 실장, 수출, 전망, 올해, 기업, 정부, 상황"
278,"대, 일자리, 증가, 주력, 전망, 무역, 경기, 수출, 경제, 정부"
279,"미, 올해, 기업, 증시, 지난해, 선, 변수, 국내, 증권, 전망"
280,"출마, 총리, 대표, 황, 당, 지, 종로, 총선, 입장, 세종"
281,"출신, 의원, 총선, 대, 민주당, 후보, 한국당, 지역, 부산, 선"
282,"수사, 장관, 조, 검찰, 아들, 교수, 청와대, 위조, 부부, 혐의"
283,"최고위원, 임, 의혹, 업무, 수첩, 청와대, 요구, 송, 후보, 매수"
284,"미국, 위원장, 김, 북한, 노동당, 국무위원장, 기, 차, 전원회의, 적대"
285,"교수, 조국, 혐의, 기소, 진, 위조, 표창장, 청와대"
286,"브랜드, 락토핏, 유산균, 대세, ‘락토핏, 영상, 반응, 펭수, 최초"
287,"락토핏, 펭수, 브랜드, 대세, 유산균, 영상, 반응"
288,
289,"미국, 북한, 위원장, 제재, 미, 김, 무기, 전략무기, 북, 강화"
290,"트럼프, 대통령, 북한, 김, 위원장, 그, 공개, 미국, 미, 약속"
291,
292,"중국, 연하장, 기사, 러시아"
293,"포인트, 선호도, 조사, 총리, 대표, 한국당, 리얼미터, 이낙연, 황교안, 여론조사"
294,"제네시스, 디자인, 적용, GV80, 부, 감, 운전자, 역동, 강조, 전면"
295,"상장, 상장폐지, 결정, 기업, 주가, 법원, A씨, 폐지, 규정, 심사"
296,"상속인, 배우자, 부양, 상속, A씨, 재산, 자녀, 사망, 사이, 간호"
297,"개인방송, 범죄, 단속, 건, 풍선, 불법행위, 경찰, 방송, 검거, 신종"
298,"미국, 목격, 김, 위원장"
299,"만, 달러, 억, 수출, 감소, 연속, 흑자, 무역"
300,"김, 위원장, 폼페이, 오, 장관, 결정, 그"
301,"경제, 한국, 성장, 경기, 재정, 정부, 위기, 구조, 정책, 생산"
302,"금리, 물가, 돈, 성장, 기업, 경제, 정상, 선진국, 경기, 저"
303,"이사장, 재단, 장관, 검찰, 유, 시험, 조, 계좌, 아들, 오픈"
304,"혐의, 공무원, 범죄, 송, 부시장, 구속, 법원, 검찰, 영장, 사유"
305,"폼페이, 오, 장관, 결정, 통신, 김, 위원장, 그"
306,"미국, 북한, 전략무기, 개발, 계속, 조선, 중단, 요구, 미"
307,"사건, 이춘, 범행, 경찰, 화성, 차, 진술, 살해, 경위, 살인"
308,"선거인단, 미국, 트럼프, 대통령, 민주당, 대선, 주, 후보, 아이오와, 경제"
309,"정전, 삼성전자, 분, 반도체, 복구, 피해, 화성, 발생, 생산, 라인"
310,"이춘, 범행, 사건, 경위, 당시, 자백, 차, 화성, 재, 재심"
311,"영동대로, 카운트다운, 새해, 행사, 고객"
312,"국가, 위원장, 나라, 강화, 경제, 사업, 공업, 발전, 내각, 힘"
313,"레바논, 회장, 곤, 일본, 베이루트, 출국, 자택, 보석, 탈출, 언론"
314,"수출, 만, 억, 달러, 지난해, 감소"
315,"대, 만, 경쟁, 학년, 수능, 선발, 전년, 계열, 감소, 대학"
316,"제네시스, GV80, 브랜드, 대, 고급, 시장, 차종, 첨단, 기술, 안전"
317,"김, 위원장, 미국, 폼페이, 오, 북한, 전략무기, 평화, 장관, 인터뷰"
318,"독도, 국제법, 재단, 영토, 정책, 주권, 교수"
319,"당, 부장, 정치국, 위원, 부위원장, 노동당, 전원회의, 인사, 이번, 후보"
320,"개선, 보행, 왕십리역, 광장, 환경, 성동구, 횡단보도, 왕십리, 설치, 사업"
321,"레바논, 논, 공항, 출국, 레바, 인도, 사법, 당국, 금지, 르노"
322,"신년사, 육성, 발표, 위원장, 방송, 북한, 김, 노동신문, 전원회의, 오전"
323,"권, 치료, 심신, 아내, 상태, 징역, 가족, 무시, 간, 선고"
324,"교수, 청와대, 수사, 진중권, 동양, 장관, 진, 행사, 인사, 비리"
325,"신년사, 위원장, 발표, 육성, 북한, 김, 오전, 방송, 전원회의, 노동신문"
326,"중국, 단계, 합의, 미국, 무역, 서명, 제품, 관세"
327,"장바구니, 홈플러스, 대형마트, 용량, 대여, 테이프, 끈, 사용"
328,"수사, 경찰, 국민, 민, 청장"
329,"의원, 금, 민주당, 기권, 비판"
330,"카카오톡, 새해, 카카오"
331,"수리, 보증, 기간, 스마트폰, 품질, 기준, 무상, 제품, 하자"
332,"원내대표, 국민, 희망"
333,"새해, 카카오톡, 발생, 불편, 카카오"
334,"강도, 경찰, 마사지, 숍, A씨"
335,"대통령, 트럼프, 대, 상원, 대선, 탄핵, 선거, 재선, 미, 민주당"
336,"지난해, 만, 기록, 개월, 무역, 수출, 달러, 억, 감소, 연속"
337,"풍선, 깡, 인터넷, 개인방송, 진행자, 시청자, 구매, 수수료, 금액, 뒤"
338,"아베, 헌법, 개정, 총리, 일본, 연두, 소감, 이번, 개헌"
339,"의원, 금, 비판, 정치, 더불어민주당, 기권, 표, 이날, 검사"
340,"의원, 금, 비판"
341,"건, 중재, 교환, 환불, 자동차, 신청, 가능, 제작자, 완료"
342,"공개수배, 국제, 파, 규석, 공범, 시신, 혐의, 광주, 징역, 선고"
343,"기업, 지원, 고양시, 시, 밸리, 계획, 억, 사업, 일산, 테크노"
344,"기업, 미세먼지, 국내, 기술, 전동차, 설치, 평가, 솔루션, 승강장, 팀"
345,"발표, 당, 신년사, 북한, 위원장, 김정은, 위원, 노동당, 정치국, 전원회의"
346,"경남, 의원, 한국당, 예비후보, 자유, 등록, 민주당, 창원, 대표, 대통령"
