index,topics
0,"의장, 문, 국회, 해"
1,"전망, 경제, 지역, 내년, 대구, 경북, 경기, 대구경북, 기관, 성장"
2,"공단, 지역, 인재, 채용, 포함, 신규"
3,"대통령, 분, 문"
4,"한우, 가격, 등심, 만, 숙성, 상승, 이마트, 올해, 등급, 대비"
5,"만, 청년, 무상급식, 지원, 고교, 지역, 교복, 사업, 새해, 전국"
6,"여성, 국회, 의원, 남성, 성, 페미’, 직원, 차별, 주장, 보좌관"
7,"사용, 업무추진비, 증빙, 자료"
8,"물질, 측정, 기준, 차, 공기, 질, 관리, 실내, 충족, 국토부"
9,"미국, 브렉시트, 관세, 영국, 미, 의회, 금리, 세계, 경제, 비준"
10,"유관순, 열사, 3·1운동, 선생, 국민, 김구, 선택, ‘3·1운동, 인물, 주년"
11,"기업, 억, 서비스, 유니콘, 달러, 글로벌, 벤처, 투자, 규제, 조"
12,"전북, 대표, 억, 아너, 소사이어티"
13,"여성, 임원, 영업, 부행장, 금융, 그룹, 상무, 본부장, 신한금융, 만"
14,"경제, 인상, 임금, 주휴수당, 최저임금, 최저, 기업"
15,"만, 개월, 육아휴직, 출산, 근로자, 지원, 올해, 간, 동안, 급여"
16,"정부, 국채, 발행, 청와대, 국가, 민간, 기업, KT&G, 사장, 교체"
17,"세대, 청년, 취업, 20대, 공정, 기회, 현실, 나라, 대기업"
18,"바이오, 의약품, 성장, 시장, 산업, 제약, 증가, 연, 치료, 합성"
19,"가맹, 가맹점, 정보, 공개, 공급, 본부, 품목, 치즈, 본사, 사업"
20,"고양시, 파주, 고양, 광역, 운행, 서울, 연장, 열차, 량, 교통난"
21,"패딩, 제품, 매장, 인증, 브랜드, 거, 판매자, 구매, 만, 퍼"
22,"미니스톱, 매각, 편의점, 인수, 업계, 주, 가맹점, 입찰, 협상, 일각"
23,"3·1운동, 국민, 계승, 정신, 잔재, 인식, 청산, ‘3·1운동, 역사, 조사"
24,"투자, 리서치센터장, 하반기, 예·적금, 채권, 상승, 팀장, 미국, 금, 필요"
25,"시장, 금융, 총재, 기준, 금리, 경제, 상황, 통화정책, 완화, 유지"
26,"경제, 안정, 조사, 결과"
27,"가입, 고객, 보험료, 은행, 개인, 보험, 대출, 보험설계사, 대출금, 보험사"
28,"대출, 금리, 고정, 인상, 변동금리, 이자, 필요, 형, 전문가들, 조언"
29,"필요, 세계, 평화, 주년, 독립선언서, 내용, 한반도, 의견, ‘3·1운동, 응답"
30,"위안부, 청산, 대, 일본군, 일제, 잔재, 한일기본조약, 반면"
31,"국토부, 계획, 발급, 지난해, 유출, 운항, 승무원, 적정, 평가, 판단"
32,"국민임대주택, 사업, 개발, 공사, 귀리, 마을, 제주"
33,"대한민국, 임정, 정부, 국가, 헌법, 차, 나라, 임시정부, 100년, 세계"
34,"황금돼지, 시리즈"
35,"다이어트, 식단, 11번가, 코리아, 관리, 판매, 프로모션, 이번, 보조, 식품"
36,"주년, 문화, 3·1운동, 수립, 시민, 독립"
37,"메이웨더, 나스카, 다운"
38,"트럼프, 대통령, 시리아"
39,"A씨, 사고, 혐의, 경찰, 적용, 당시, 술, 음주운전, 위험, 운전"
40,"수주, 조선, 억, 선박, 척, 세계, 한국, 중국, 발주, 상황"
41,"A씨, 혐의, 청주, 피해자"
42,"러시아, 정부, 임시정부, 최재형, 곳, 연해주, 그, 대한국민의회, 독립, 고려인"
43,"쌍용차, 해고자, 복직, 채용, 지난해, 사태, 추가, 노조"
44,"퍼시스, 회장, 그룹, 가구, 손, 홀딩스, 승진, 부사장, 상무이사"
45,"분양, 만, 호, 지역, 주택, 해소"
46,"청소년, 재단, 강연"
47,"대통령, 남북, 정상, 김대중, 평양, 노무현, 회담, 평화, 북한, 한반도"
48,"감기, 만, 돌림, 전염병, 목숨, 아무개, 살"
49,"업종, 기업, 조사, 한국생산성본부, 호텔, 위, 차지, 전년, 대비, 고객"
50,"한우, 가격, 간, 숙성, 6개월, 이마트, 등심, 동결, 등급, 상승"
51,"물가, 소비자, 상승, 통계청, 발표, 연간, 동향, 뉴시스"
52,"E1, 프로판"
53,"가구, 분양, 단지, 만, 층, 물량, 이달, 일반, 동, 전용"
54,"억, 분야, 기술, 조, R&D, 사업, 개발, 원천, 연구, 소재"
55,"쌀, 값, 쌀값, 폭등, 지난해, 일본, 소동, 판매소, 순사, 경찰"
56,"구, A씨"
57,"삼성, 노조, 어용, 설립, 에버랜드, 와해, 검찰, 수사, 해고, 공작"
58,
59,"즉시항고, 결정, 헌재, 법, 형사, 재판, 기간, 헌법, 법률, 재판관"
60,"성, 대통령, 테, 추행, 두테르, 가정부"
61,
62,"수퍼, 동네, 편의점, 상품, 매장, 고객, 만, 수퍼마켓, 매출, 증가"
63,"대통령, 산행, 지난해, 새해, 문, 양, 의인"
64,"정부, 최저임금, 의견, 정책, 단축, 확대"
65,"병원, 길, 노사"
66,"도, 영하, 분, 제주도, 곳, 전국, 전라, 오늘, 해돋이, 예상"
