index,topics
0,"부동산, 투자, 투기, 세금, 재테크, 목적, 교회"
1,"조선업, 현대중공업, 노조, 주총, 대우조선, 인수, 정부, 법인분할, 경쟁력, 위"
2,"헝가리, 장관, 강, 생존자, 상황, 배, 유람선, 사고, 당시, 분"
3,"여성, 남성, 혐의, 침입, 강간미수, 경찰, 주거, 구속, 영상, 영장"
4,"회동, 미, 북, 대표, 협상, 수석, 이날, 본부장, 이야기, 핵"
5,"발언, 의장, 김정은, 대통령, 왜곡, 보도, 대표, 기자, 부분"
6,"라피, 교장, 학교, 옥상, 경찰, 방글라데시, 성, 추행, 가해자"
7,"지원, 시장, 만, 북한, 서울, 식량, 억, 박, 인도, 서울시"
8,"조, 침입, 여성, 주거, 구속, 강간, 시도, 신림동, 영상, 경찰"
9,"현지, 장관, 시, 분, 선장, 헝가리, 사건, 확보, 강, 오후"
10,"양, 설명서, 문건, 이의, 서류, 증거, 검찰, 변호인, 대법원장, 내용"
11,"선장, 헝가리, 정부, 장관, 부다페스트, 유람선, 크루즈, 사고, 호, 강"
12,"강원랜드, 채용, 뇌물, 카지노, 직권남용, 청탁, 혐의, 김, 피고인, 권한"
13,"일본, 독일, 위기, 국가, 역사, 전쟁, 경험, 제약, 지정학, 그"
14,"보도, 김혁, 철, 북한, 대미, 협상, 언론, 처형, 하노이, 정상"
15,"헝가리, 장관, 수색, 사고, 정부, 강, 측, 다뉴브강, 실종자, 인양"
16,"멕시코, 관세, 미국, 해결, 불법, 이민자, 트럼프, 대통령, 민주당"
17,"장관, 강, 헝가리, 유람선, 침몰, 인양, 잠수, 측, 브, 밑"
18,"청렴, 농협, 임직원, 실천, 윤리, 경영, 농협중앙회, 캠페인"
19,"멧돼지, 포획, 서울, 마리, 작업, 협회, 엽사, 야생, 신고, 수도"
20,"동물, 야생, 피해, 종, 생태, 교란, 생물, 관리, 유해, 지정"
21,"류현진, 광고, 모델, 혐의"
22,"중국, 북한, 멧돼지, 돼지, 바이러스, 감염, 확산, 방역, 발병, 세계"
23,"경제, 적자, 수출, 경상, 수지, 상황, 무역"
24,"노조, 합병, 분할, 세계, 법인, 대우조선, 우려, 조선업, 중국, 경쟁국"
25,"경상, 수지, 수출, 적자, 가능성, 정부, 감소세, 하락, 외국인"
26,"헝가리, 장관, 강, 다뉴브강, 선체, 외교부, 기자, 하류, 수색, 경찰"
27,"북한, 방역, 마리"
28,"주주, 현대중공업, 변경, 금속, 노조"
29,"경찰, 사고, 다뉴브강, 헝가리, 부다페스트, 수색, 배, 구조, 현지, 간"
30,"배, 바이킹, 탑승객, 사고, 선박, 시긴, 허블레아니"
31,"시, 오전, 체육관, 회사, 측, 주주, 주총, 노조원, 분, 울산대"
32,"멕시코, 관세, 미국, 기업, 대통령, 현지, 생산"
33,"민, 노총, 정부, 행위, 간부, 구속, 불법, 조치"
34,"지원, 식량, 정부, 만, 북한, 최고위원, 국제기구"
35,"당, 정책위의장, 북한, 의원, 대표"
36,"수지, 시장, 경상, 적자, 가능성, 기준금리, 물, 수출, 정부, 상황"
37,"한도, 출국, 검토, 면세점, 구매, 장, 3000달러, 홍, 상향, 조정"
38,"삼성, 일본, 삼성전자, 부회장, 시장, 최근, 스마트폰, 갤럭시, 경계, 협력"
39,"한국, 예방, 정부, 북한, 돼지, 멧돼지, 감염, 전파, 백신, 방역"
40,"만, 조, 그룹"
41,"감염, 바이러스, 돼지, 지역"
42,"검찰, 용산, 당시, 경찰, 진압, 수사, 조사, 과거사위, 철거민"
43,"회식, 군, 사령관, 자리, 행사"
44,"안동, 시위, 독립, 일제, 만세, 임, 청각, 석주, 경북, 면"
45,"트위터, 바이든, 소셜미디어, 최고, 특검, 달, 회, 폭풍, 수사, 보고서"
46,"뉴욕, 택시, 대출, 택시기사, 택시업계, 언, 만, 달러, 머댈리, 시"
47,"정부, 일본, 암행어사, 룰, 심판, 권위, 기업, 민초, 힘, 해결"
48,"폭염, 더위, 도, 발생, 지난해, 수은주, 열사, 병, 목숨, 위협"
49,"회장, 최, 임직원, 시대, 성공, 고객"
50,"만, 앱, 요구, 수법, 보이스피싱, 전화, 금융, 피해, 확인, 돈"
51,"요금, 텔레콤, 개월, 병사, 플랜, 이용, 전용, 제공, 슈퍼히어로, 데이터"
52,"회장, 통신, 텔레콤, 최"
53,"취업, 일본, 기업, 교수, 교육, 글로벌, 상, 대학, 재학, 상표"
54,금연
55,"평등, 저자"
56,"서비스, 렉서스, 센터, 전시장, 고객, 포항"
57,"면세점, 입국, 장, 국민, 달러, 구매, 한도, 600달러, 국내, 인천국제공항"
58,"공항, 장비, 사업, 항행, 안전, 시설, 시장, 공사, 우즈베키스탄, 개발"
59,"한국, 암웨이, 제품, 브랜드, 뉴트리라이트, 영양소, 식물, 캠페인"
60,"미니, 주년, 디자인, 레이싱, 출시, 적용, 영국, 정체, 기념, 링"
61,"연금, 손, 손님, 자산관리, 은행, 하나은행, 투자, 자산, 관리, 상품"
62,"세빛섬, 축구, 행사, 다양, 카페"
63,"호주, 렉스, 스포츠, 턴, 현지, 칸, 출시, 쌍용, 차, 시장"
64,"센터, 온라인, 롯데슈퍼, 배송, 남양주, 남양주시, 전용, 프레시, 주문"
65,"운전자, 화물차, 자녀, 사고, 어려움"
66,"타이어, 서비스, 센터, 썸, 프로모션, 이번, 고객, 교체"
67,"제공, 플랫폼, 롯데면세점, 서비스, 중국, 위챗, 고객, 여행객, 대상, 혜택"
68,"바이오, 기업, 산업, 인천, 송도, 헬스, 생태, 셀트리온, 전략, 생산"
69,"총장, 교수, 행정학, 공주"
70,"조합, 장판, 희망, 활동, 도배, 환경, 개선"
71,
72,"대통령, 사고, 지시, 문, 보고, 청와대, 상황, 대응, 오전, 시"
73,"헝가리, 수색, 한국, 시, 다이버, 오후, 현지, 다뉴브강, 유람선, 사고"
