index,topics
0,"수능, 대입, 대학, 시험, 전형, 논술, 수험, 학년도, 정부, 입학"
1,"지지, 당, 정치, 표, 원내, 노무현, 민노당, 한국당, 힘, 차이"
2,"전달, 재판, 보고, 검찰, 박, 필요, 대전, 양승태, 법원행정처, 의견"
3,"북, 베트남, 민, 체포, 한국, 중국, 외교부, 관련, 국경, 대"
4,"수사, 론스타, 검찰, 검사, 영화, 윤, 총장, 사건, 구속, 팀"
5,"인도, 양파, 방글라데시, 중국, 가격, 총리, 수출, 전략, 국민, 기준"
6,"당첨, 번호, 만, 복권, 로또, 구입, 당첨자, 방식, 당첨금"
7,"조, 추첨, 프랑스, 유럽, 플레이오프, 유로, 독일, 포르투갈, 이탈리아, 네덜란드"
8,"견, 세, 노령, 보험, 반려동물, 산업, 상품, 반려, 노령견, 건강"
9,"의사, 중국, 환자, 노인, 치료, 거, 소변, 여객기, 오줌, 장훙"
10,"전투기, FA-50, 아세안, 국가, 말레이시아, 중국, 도입, 사업, 국산, 무기"
11,"아이, 양, 어린이집, 부모, 글쓴이, 군, 뒤, 피해, 바지, 딸"
12,"동안, 젖, 뒤, 출장, 모유, 이사도라, 저, 동료, 딸, 직장"
13,"고래, 런던"
14,"북, 베트남, 한국, 민, 체포, 중국, 대표, 대, 국경, 추방"
15,"도, 평년, 기온, 영하, 곳, 눈, 영상, 비, 지역, 강원"
16,"고객, 시장, 사업, 호빵, 경쟁, 스타트업, 기술, 겨울, 간식, 기업"
17,"런던, 테러, 용의자, 브리지, 현지, 영국, 남성, 흉기, 경찰, 사건"
18,"한, 용역, 자문, 파면, 법제처, 뇌물, 법무법인, 업무, 판결, 의무"
19,"대사, 북한, 김정은, 정보, 김, 위원장"
20,"기억, 기사, 코끼리, 잠실, 뉴런, 체제, 홍콩, 시위, 정치, 올림픽"
21,"불법, 자동차, 서비스, 타다, 기소, 대표, 허용, 인, 승, 택시업계"
22,"곳, 충전소, 의원, 넥쏘, 충전, 국회, 차량, 서울, 수소충전소, 전용"
23,"포스코, 기업, 건설, 철강, 사용, 자재, 빌트, 산업, 제품, 이노"
24,"쇼핑, 블랙프라이데이, 미국, 추수감사절, 온라인, 억, 매출, 달러, 최대, 연말"
25,"피해자, 위안부, 문, 의장, 강제, 발의, 지급, 포함, 징용, 배상"
26,"기업, 선고, 혐의, 피해자, 천만"
27,"김, 지, 딸, 피해자, 장애, 재판부"
28,"원내대표, 의원, 국회, 법, 과거사, 통과, 대, 과거, 사법, 사건"
29,"경찰, 시신, 발견, 매터스, 주, 냉동고, 보관, 추정, 남성, 사망"
30,"중국, 사회주의, 주석, 제도, 특색, 시진핑, 국가, 법률, 공산당, 홍콩"
31,"수사, 검찰, 황, 청장, 의도, 조사, 경찰, 명예퇴직, 김기현, 고발"
32,"태아, 신생아, 발견, 수술, 복부, 의료진, 상태, 증상"
33,"잭, 런던, 프로그램, 테러, 케임브리지, 석방, 브리지, 피시몽거스, 홀, 러닝"
34,"의원, 청혼, 무, 그, 이탈리아, 국회, 친구, 디, 하원, 연설"
35,"필리버스터, 민생법안, 자유한국당, 신청, 법, 탓, 회의, 거짓말, 비판, 아이"
36,"수출, 이후, 개월, 연속, 감소, 달러, 지난해, 감소세, 석유, 부진"
37,"통행, 대중교통, 경기, 시, 하루, 만, 경기도, 목적통행량, 출근, 이용"
38,"금융, 회장, 조, 우려, 전달, 당국, 금감원, 리스크, 채용, 혐의"
39,"택시, 대표, 알선, 검찰, 불법, 서비스, 타다, 인, 승, 업체"
40,"의원, 발의, 출석, 법안, 국회, 대표, 건, 회의, 위, 민주당"
41,"A씨, 철도, 호, 차, 승무원, 욕설, 소란"
42,"대변인, 그, 김, 흑석동, 저, 뒤, 정부, 제, 투기"
43,"수출, 감소, 이후, 기록, 연속, 개월, 전년, 대비, 억, 달러"
44,"매각, 대변인, 부동산, 공개, 출마, 김, 투기, 뜻, 뒤, 결심"
45,"태국, 차례"
46,"시장, 통보, 관련, 시점, 진행, 공개, 출마, 불가, 경찰청, 공직"
47,"의원, 벌금, 공표, 만, 혐의, 유, 선고, 경선, 판단"
48,"총리, 무스카트, 사건, 사임, 페네치, 몰타, 갈리치아, 정치, 노동당, 의혹"
49,"홍, 필리버스터, 대표, 한국당, 법안, 저지, 민주당, 민생법안"
50,"한국, 미군, 기여, 관련, 분담, 상당, 일본, 미, 법안, 부담"
51,"대변인, 김, 제, 매각, 청와대, 흑석동, 계약, 투기, 정부, 설명"
52,"수사, 검찰, 조사, 경찰, 황, 청장, 그, 장문, 김기현, 관련"
53,"수출, 감소, 이후, 달러, 반도체, 부진, 연속, 석유, 개월, 지난달"
54,"택시, 서비스, 대표, 호출, 검찰, 서울, 조합, 불법, 타다, 승객"
55,"스타벅스, 경찰, 미국, 음료, 오클라호마, 경찰관"
56,"한국, 미군, 상원, 관련, 안보, 법안, 분담, 상당, 기여, 하원"
57,"수사, 검찰, 황, 청장, 저, 경찰, 제기, 조사, 의도, 자유한국당"
58,"제, 정책, 청와대, 흑석동, 정부, 저, 아내, 대변인, 김, 매각"
59,"수사, 검찰, 황, 청장, 김기현, 명예퇴직, 불가, 의도, 관련, 사건"
60,"발언, 서울시, 제재, 장관, 방송, 방통, 위, 강, 주의, 의원"
61,"신체, 접촉, 부위, 교사, 성, 행위, 격려, 심, 선고, A씨"
62,"비밀, 후쿠시마, 정보, 일본, 기자, 유출, 법, 특정, 지정, 기사"
63,"조, 국가채무, 만, 채무, 배, 기준, 정부, 인, 국가, 부담"
64,"상속인, 한정승인, 상속, 금융, 포기, 재산, 변호사, 주의, 어머니, 빚"
65,"소란, A씨, 호, 차, 열차, 승무원, 욕설, 철도"
66,"비행, U-2S, 상공, 정찰기, 한반도, 정찰, 만, 북한군, 움직임, 정보"
67,"수사, 황, 청장, 검찰, 비리, 명예퇴직, 김, 시장, 진행"
68,"허위, 의원, 공표, 유, A씨, 벌금, 만, 당내, 경선, 당선"
69,"장애인, 시설, 지원, 호, 거주, 서울시, 주택, 독립, 편의, 주거"
70,"무역, 수출, 기업, 지원, 성, 장관, 내년, 금융, 규모, 보증"
71,"전투, 나폴레옹, 재현, 오스트리아, 러시아, 리츠, 황제, 초, 행사, 역사"
72,"요구, 협상, 일본, 한국, 장관, 총리, 자금, 경협, 나카소네, 전두환"
73,"수출, 대화, 한국, 관리, 한, 당국, 정책, 일본, 간, 재개"
74,"매력, 위, 순위, 이바라키, 도도부현, 현, 지역, 연구소, 이미지, 도쿄"
75,"수출, 연속, 조, 무역, 억, 개월, 내년, 금융, 이상, 규모"
76,"조, 천억, 재정, 올해, 군인연금, 전망, 적자, 연금, 공무원연금, 보험"
77,"인권, 센터, 보호, 수사, 사건, 검찰청, 설치, 침해, 역할, 대검"
78,"북한, 대사, 김평일, 정보, 김"
79,"원내대표, 필리버스터"
80,"강제, 피해자, 위안부, 법안, 문, 의장, 발의, 징용, 의견, 동원"
81,"억, 외국인, 조, 시장, 순매도, 지난달, 주식, 어치, 국내, 규모"
82,"검찰, 비리, 이사장, 의원, 유, 유시민, 지검, 단죄"
83,"피해자, 위안부, 강제, 문, 법안, 의장, 징용, 지급, 대상, 위자료"
84,"직원, 폭행"
85,"대변인, 김, 매입, 흑석동"
86,"아랍에미리트, 에미레이트, 항공, 승객, 특별, 비행"
87,"인권, 미국, 홍콩, 민주주의, 중국, 인민, 신문, 법, 허위, 일보"
88,"남성, 에이톤, 외국인, 성폭행, 뉴스, 시도, 외국, 경찰, 여성, 제압"
89,"수사, 검찰, 조사, 황, 청장, 그, 명예퇴직, 선거, 고발, 김"
90,"한국당, 국회, 정치, 처리, 원내대표, 필리버스터, 그, 법안, 본회의, 대"
91,"조, 정부, 채무, 만, 재정, 국가채무, 국가, 빚, 나라, 기준"
92,"수사, 황, 청장, 검찰, 경찰청, 울산시장, 사건, 조사, 김, 경찰"
93,"금강산, 남측, 시설, 관광, 북한, 항, 북측, 외국인, 다큐멘터리, 방송"
94,"지역, 팀, 지원, 청년, 창업, 사업, 최대, 운영, 사업비, 그룹"
