index,topics
0,"매장, 범인, 흉기, 제압, 대, 직원, 아르바이트생"
1,"대만, 기업, 혁신, 투자, 회장, 글로벌, 벤처, 부회장"
2,"대표이사, 홍, BGF그룹, 경영, 전략"
3,"금융, 네이버, 결제, 파이낸셜, 계획, 서비스, 투자, 출시, 대표, 금융상품"
4,"창업, 기업, 펀드, 대구, 조성, 삼성전자, 창조경제혁신센터, 지역, 억, 혁신"
5,"스타트업, 플랫폼, 창업, 정보, 경기, 투자, 제공, 투자자, 전문가"
6,"전세, 가격, 아파트, 매매, 서울, 하락, 상승, 부동산, 투자, 갭"
7,"세입자, 보호, 대책, 강화, 갭, 투자, 전세, 피해, 보증금, 주택"
8,"미세, 먼지, 주의보, 발령, 미세먼지, 지방, 경기도, 농도, 오후"
9,"중국, 공산당, 제도, 당, 중앙, 홍콩, 전회, 시, 공보, 견지"
10,"분양, 국내, 콘도미니엄, 부동산, 억, 미국, 뉴욕, 만, 현지, 최근"
11,"경험, 토지, 투자, 부동산, 관심, 세종, 시, 대표, 땅, 실전"
12,"오피스텔, 미군, 전용, 사병, 임대, 안정, 진행, 주변, 예정, 연결"
13,"생산, 양식, 확보, 회사, 삼강, 바이오플락, 투자, 가동, 민물, 수산물"
14,"근린공원, 고덕역, 층, 단지, 가능"
15,"광명역, 상가, 주변, 투자자, 시설, 역, 세, 상권, 광명, 만"
16,"타입, 아파트, 광흥창역, 예정"
17,"회원, 신규, 분양, 상품, 할인, 호텔&리조트"
18,"인근, 동탄, 가구, 도시, 단지, 가격, 주변, 인프라, 교육, 경기도"
19,"가구, 대, 아파트, 분, 분양, 양주, 도시, 차, 예정, 거실"
20,"시위, 여행, 안전, 해외, 홍콩, 여행경보, 발령, 카탈루냐, 지역"
21,"아파트값, 상승, 주"
22,차
23,"회장, 그룹, 합병, 차, 만, 자동차, 프랑스, 대, 세계, 르노"
24,"한강, 조망, 오피스텔, 선유도역, 더블"
25,"금리, 인하, 이날, 단행, 경기, 보험, 올해, 경제, 미국, 연준"
26,"정규, 직, 증가, 통계, 일자리, 여성, 정부, 제조업, 남성, 증감"
27,"규제, 실적, 석유, 영업이익, 억, 정유사, 지정학, 위기, 법안, 올해"
28,"조, 억, 삼성전자, 매출, 3분기, 영업이익, 분기, 투자, 반도체, 시장"
29,"삼성전자, 반도체, 시장, 부회장, 조, 위, 램, 세계, 삼성, 매출"
30,"생산, 감소, 소비, 폭, 개월, 통계청, 산업, 영향, 통신"
31,"소프트웨어, 설립, 교육, 교수"
32,"그룹, 대만, 시장, 성장, 해외, 회장, 기술, 기업, 사장단, 회의"
33,"아이스, 팩, 현대백화점그룹, 회장, 환경, 기업, 수거, 활용"
34,"크레이트, 카리플렉, 사업부, 인수"
35,"경영, 대비, 부회장, 롯데, 그, 황, 국내, 강화, 불확실성, 미래"
36,"살균제, 가습기, 연구, 원인, 확인, 독, 폐암, 성분, 교수, 피해"
37,"사업, 포스코에너지, 조, 계획, 그룹, 에너지, 포스코, 기업, 발전, 해외"
38,"사건, 경찰, 시신, 김, 여성, 발견, 우물, 가능성, 범인, 시민"
39,"조, 억, 예산, 일자리, 지원, 청년, 복지, 만, 내년, 서울시"
40,
41,"교장, 민사, 학교, 학생, 교사, 사고, 전국, 전환, 모집, 교육"
42,"법안, 의원, 발의, 건, 민주당, 평가, 항공기, 지난달, 법, 하루"
43,"영장, 압수, 수색, 교수, 장관, 계좌, 기각, 검찰, 휴대전화, 조"
44,"한국당, 인사, 의원, 교수, 리더십, 영입, 대장, 대표, 환영식, 보류"
45,"트럼프, 민주당, 만, 대통령, 달러, 억, 바이든, 후보, 미국, 공화당"
46,"유, 부시장, 수사, 검찰, 감찰, 사의, 의혹, 부산시, 상황, 결정"
47,"연령, 제한, 세, 응시, 경찰, 소방, 지원, 시험, 나이, 체력"
48,"대통령, 조문, 청와대, 문, 장례, 대표, 문재인, 성당, 정부"
49,"공무원, 대, 급, 나이, 모, 합격, 이상, 고령, 공직, 지방"
50,"공무원, 승진, 급"
51,"정상, 회담, 취소, 칠레, 외교, 단계, 대통령, 중국, 정상회의, 서명"
52,"검사, 파견, 법무부, 결정, 대통령, 외부, 청, 복귀, 심, 재판"
53,"수사, 법무부, 안, 훈령, 입법, 인권, 규칙, 예고, 제정, 사건"
54,"조, 영장, 구속, 혐의, 심사, 휠체어, 채, 학원, 검찰, 장관"
55,"구속, 조, 혐의, 영장, 학원, 검찰, 수사, 웅동, 채용, 위장"
56,"혐의, 영장, 국장, 수사, 조, 구속, 추가, 검찰, 장관, 허위"
57,"대통령, 트럼프, 칠레, 정상회의, 취소, 지지, 합의, 서명"
58,"발사체, 발사, 북한, 오후, 분, 청와대, 대통령, 조, 미국, 만"
59,
60,"총장, 대학, 해임, 조선대, 강, 차례, 직위, 교육부, 평가, 구성원"
61,"협상, 미국, 미군, 한국, 미, 방위비, 한, 국민, 관련, 유지"
62,"알바그다디, 조직, 아부"
63,"개혁, 남북관계, 미국, 개방, 상황, 정, 국제, 협력, 가입, 얘기"
64,"알바그다디, 미, 알쿠라이시, 아부, 발표, 국방부, 조직, 지도자, 사망, 음성"
65,"한국당, 자유, 시장, 경제, 조국, 국민, 민주주의, 대표, 원내대표, 보수"
66,"경제, 생산, 환경, 변화, 위기, 소비, 구매, 이용, 증가, 개인"
67,"중국, 비자, 한국, 미국, 거부, 사드, 공연, 대학, 음대, 사건"
68,"안, 위원장, 권고"
