index,topics
0,"의장, 문, 국회, 해"
1,"전망, 대구, 경북, 경제, 지역, 내년, 경기, 기관, 성장, 산업"
2,"공단, 지역, 인재, 채용, 포함, 신규"
3,"대통령, 분, 문, 평화"
4,"한우, 가격, 등심, 만, 숙성, 상승, 이마트, 올해, 등급, 대비"
5,"경기, 비, 살, 아이, 시행, 공제, 지방, 정부, 정책, 무상"
6,"여성, 국회, 의원, 남성, 성, 페미’, 직원, 차별, 주장, 보좌관"
7,"사용, 업무추진비, 증빙, 자료"
8,"기준, 차, 공기, 질, 관리, 실내, 충족, 국토부, 차종, 물질"
9,"미국, 브렉시트, 관세, 영국, 경제, 미, 의회, 금리, 세계, 비준"
10,"유관순, 열사, 3·1운동, 선생, 국민, 대, 김구, 선택, ‘3·1운동, 역사"
11,"기업, 억, 서비스, 달러, 유니콘, 글로벌, 벤처, 투자, 규제, 조"
12,"전북, 대표, 억"
13,"여성, 임원, 영업, 금융, 부행장, 그룹, 상무, 기업, 본부장, 신한금융"
14,"임금, 경제, 최저, 인상, 기업"
15,"만, 개월, 육아, 출산, 근로자, 지원, 올해, 휴직, 간, 동안"
16,"정부, 국채, 발행, 청와대, 국가, 민간, 기업, 사장, 교체, 주장"
17,"세대, 대, 청년, 기업, 취업, 주요, 공정, 기회, 현실, 나라"
18,"바이오, 의약품, 성장, 시장, 산업, 제약, 증가, 연, 기술, 치료"
19,"가맹, 가맹점, 정보, 공개, 공급, 본부, 품목, 치즈, 본사, 사업"
20,"고양시, 파주, 고양, 광역, 운행, 서울, 연장, 열차, 량, 교통난"
21,"패딩, 제품, 매장, 인증, 브랜드, 거, 판매자, 구매, 만, 털"
22,"미니스톱, 매각, 편의점, 인수, 업계, 주, 가맹점, 입찰, 협상, 일각"
23,"계승, 3·1운동, 국민, 정신, 잔재, 인식, 청산, ‘3·1운동, 역사, 조사"
24,"투자, 리서치센터장, 하반기, 예·적금, 채권, 상승, 팀장, 미국, 금, 필요"
25,"시장, 금융, 총재, 기준, 금리, 경제, 상황, 통화정책, 완화, 유지"
26,"조사, 경제, 안정, 결과"
27,"가입, 고객, 보험료, 은행, 개인, 보험, 대출, 보험설계사, 대출금, 보험사"
28,"대출, 금리, 고정, 인상, 변동금리, 이자, 필요, 형, 전문가들, 조언"
29,"필요, 세계, 평화, 주년, 독립선언서, 내용, 한반도, 의견, ‘3·1운동, 응답"
30,"대, 위안부, 청산, 일본군, 일제, 잔재, 한일기본조약, 반면"
31,"인력, 항공사, 조종사, 신규, 국토부, 스카우트, 기존, 안전, 기준, 계획"
32,"사업, 개발, 공사, 주택, 제주, 마을, 국민임대주택"
33,"임정, 대한민국, 정부, 국가, 헌법, 차, 나라, 임시정부, 세계, 일본"
34,"황금돼지, 시리즈"
35,"다이어트, 식단, 코리아, 관리, 판매, 프로모션, 이번, 보조, 식품, 가"
36,"주년, 문화, 3·1운동, 수립, 시민, 독립"
37,"메이웨더, 다운"
38,"트럼프, 대통령, 시리아"
