index,topics
0,"후보자, 청와대, 낙마, 김, 추가, 조치, 나머지, 임명, 장관, 채택"
1,"김현희, 서울, 기, 폭파, 사건, 바레인, 한국, 압송, 대선, 외교"
2,"신문, 현직, 법관, 일정, 부장판사, 과태료, 증인, 재판, 출석, 구인"
3,"후보자, 박, 한국당, 동영상, 대표, 차관, 김, 접대, 황"
4,"핵, 미국, 북한, 요구, 트럼프, 회담, 정상, 대통령, 미, 완전"
5,"문서, 리비아, 대통령, 측, 핵, 북한, 요구, 미국, 트럼프, 미"
6,"특성, 일반, 학생, 진로, 변경, 입학, 평균"
7,"북한, 스페인, 단체, 이번, 회의, 대사관, 연루, 주시, 테러, 사건"
8,"북한, 관계, 트럼프, 대통령, 추가, 제재, 핵, 뜻, 재개, 그"
9,"미세먼지, 정부, 직속, 회의, 위원회, 미세, 먼지, 대책, 환경부, 기구"
10,"유통, 장터, 억, 대구, 경로, 도, 꾸러미, 사업, 직거래, 경북도"
11,"관리, 날, 수준, 먼지, 미세, 공기, 백화점, 농도, 대, 질"
12,"중국, 지난해, 분기, 수출, 경제성장률, 경제, 미국, 1분, 기, 경기"
13,"단독주택, 억, 공시가격, 개별, 표준, 상승, 회장, 한남동, 자택, 용산구"
14,"평양, 북한, 소비, 계층, 시글리, 러시아, 만"
15,"미, 트럼프, 대통령, 국경, 미국, 이민자, 멕시코, 이민, 원조, 불법"
16,"대출, 금융, 신용, 돈, 카드, 빅데이터, 영세, 자영업자, 당국, 분석"
17,"항공기, 리스, 하나은행, 억, 금융, 일본"
18,"미국, 자동차, 보고서, 무역, 장벽, 한국, 미, 긍정적, 평가, 분야"
19,"감사, 경남, 제약, 상장, 의견, 적정, 개선, 이의, 신청, 상장폐지"
20,"슬로바키아, 카푸토바, 정치, 정당, 대통령, 당선, 진보, 소속, 사건, 총리"
21,"조합원, 만, 민주노총, 노조, 조직, 증가, 사업장, 노동자"
22,"자격, 택시기사, 판결, 택시, 취소, 법"
23,"기념관, LG하우시스, 김창숙, 심산, 운동, 시설, 보수, 선생, 개관, 파리"
24,"대표이사, 마케팅, 본부장, 자동차, 쌍용차"
25,"아모레퍼시픽, 그룹"
26,"코리아, 스타벅스, 대표이사"
27,"롯데, 쇼핑, 서비스, 로그인, 상품, 계열사, 통합, 앱, 온라인몰, 만"
28,"5G, 갤럭시, 예약, 고객, 텔레콤, 무선, 충전, 삼성전자, 제공, 공식"
